FID Name Type Covariate R2 pvalue
23404 "Clinical LDL Cholesterol" Metabolites fasting 0.00147 4e-95
23404 "Clinical LDL Cholesterol" Metabolites month_attending 0.00092 5e-51
23404 "Clinical LDL Cholesterol" Metabolites sex 0.02468 0
23404 "Clinical LDL Cholesterol" Metabolites smoking 0.00089 7e-57
23404 "Clinical LDL Cholesterol" Metabolites spectrometer 0.02068 0
23404 "Clinical LDL Cholesterol" Metabolites time_analysis 0.00413 2e-243
23404 "Clinical LDL Cholesterol" Metabolites time_day 0.00344 6e-220
23405 "LDL Cholesterol" Metabolites PCs 0.00189 1e-98
23405 "LDL Cholesterol" Metabolites age_recruitment 0.02355 0
23405 "LDL Cholesterol" Metabolites assessment_centre 0.00336 5e-197
23405 "LDL Cholesterol" Metabolites batch 0.0059 0
23405 "LDL Cholesterol" Metabolites bmi 0.00013 8e-10
23405 "LDL Cholesterol" Metabolites fasting 0.00095 5e-63
23405 "LDL Cholesterol" Metabolites month_attending 0.00101 1e-57
23405 "LDL Cholesterol" Metabolites sex 0.02142 0
23405 "LDL Cholesterol" Metabolites smoking 0.00046 6e-30
23405 "LDL Cholesterol" Metabolites spectrometer 0.02464 0
23405 "LDL Cholesterol" Metabolites time_analysis 0.00838 0
23405 "LDL Cholesterol" Metabolites time_day 0.00349 1e-225
23406 "HDL Cholesterol" Metabolites PCs 0.00319 4e-94
23406 "HDL Cholesterol" Metabolites age_recruitment 0.00219 7e-148
23406 "HDL Cholesterol" Metabolites assessment_centre 0.00315 1e-243
23406 "HDL Cholesterol" Metabolites batch 0.00403 0
23406 "HDL Cholesterol" Metabolites bmi 0.08616 0
23406 "HDL Cholesterol" Metabolites fasting 6e-05 8e-07
23406 "HDL Cholesterol" Metabolites month_attending 0.00069 7e-51
23406 "HDL Cholesterol" Metabolites sex 0.18544 0
23406 "HDL Cholesterol" Metabolites smoking 0.0024 1e-200
23406 "HDL Cholesterol" Metabolites spectrometer 0.01099 0
23406 "HDL Cholesterol" Metabolites time_analysis 0.00439 0
23406 "HDL Cholesterol" Metabolites time_day 0.00376 1e-315
23407 "Total Triglycerides" Metabolites PCs 0.0087 0
23407 "Total Triglycerides" Metabolites age_recruitment 0.01665 0
23407 "Total Triglycerides" Metabolites assessment_centre 0.00536 0
23407 "Total Triglycerides" Metabolites batch 0.00268 3e-175
23407 "Total Triglycerides" Metabolites bmi 0.07721 0
23407 "Total Triglycerides" Metabolites fasting 0.00262 9e-185
23407 "Total Triglycerides" Metabolites month_attending 0.00079 6e-48
23407 "Total Triglycerides" Metabolites sex 0.04247 0
23407 "Total Triglycerides" Metabolites smoking 0.00494 0
23407 "Total Triglycerides" Metabolites spectrometer 0.00265 8e-179
23407 "Total Triglycerides" Metabolites time_analysis 0.00166 1e-100
23407 "Total Triglycerides" Metabolites time_day 0.00266 2e-187
23408 "Triglycerides in VLDL" Metabolites PCs 0.00887 0
23408 "Triglycerides in VLDL" Metabolites age_recruitment 0.01333 0
23408 "Triglycerides in VLDL" Metabolites assessment_centre 0.00541 0
23408 "Triglycerides in VLDL" Metabolites batch 0.00271 3e-180
23408 "Triglycerides in VLDL" Metabolites bmi 0.08094 0
23408 "Triglycerides in VLDL" Metabolites fasting 0.00271 3e-193
23408 "Triglycerides in VLDL" Metabolites month_attending 0.00082 2e-50
23408 "Triglycerides in VLDL" Metabolites sex 0.05531 0
23408 "Triglycerides in VLDL" Metabolites smoking 0.00412 3e-291
23408 "Triglycerides in VLDL" Metabolites spectrometer 0.00237 7e-162
23408 "Triglycerides in VLDL" Metabolites time_analysis 0.00122 2e-72
23408 "Triglycerides in VLDL" Metabolites time_day 0.00215 9e-154
23409 "Triglycerides in LDL" Metabolites PCs 0.00406 2e-200
23409 "Triglycerides in LDL" Metabolites age_recruitment 0.02691 0
23409 "Triglycerides in LDL" Metabolites assessment_centre 0.00351 7e-210
23409 "Triglycerides in LDL" Metabolites batch 0.00315 2e-193
23409 "Triglycerides in LDL" Metabolites bmi 0.04555 0
23409 "Triglycerides in LDL" Metabolites fasting 0.00016 4e-12
23409 "Triglycerides in LDL" Metabolites month_attending 0.00056 4e-30
23409 "Triglycerides in LDL" Metabolites sex 0.01013 5e-179
23409 "Triglycerides in LDL" Metabolites smoking 0.00733 0
23409 "Triglycerides in LDL" Metabolites spectrometer 0.00364 1e-230
23409 "Triglycerides in LDL" Metabolites time_analysis 0.00649 0
23409 "Triglycerides in LDL" Metabolites time_day 0.00085 1e-57
23410 "Triglycerides in HDL" Metabolites PCs 0.00525 9e-299
23410 "Triglycerides in HDL" Metabolites age_recruitment 0.02091 0
23410 "Triglycerides in HDL" Metabolites assessment_centre 0.00402 1e-237
23410 "Triglycerides in HDL" Metabolites batch 0.00227 2e-134
23410 "Triglycerides in HDL" Metabolites bmi 0.03408 0
23410 "Triglycerides in HDL" Metabolites fasting 0.00398 6e-256
23410 "Triglycerides in HDL" Metabolites month_attending 0.00056 3e-29
23410 "Triglycerides in HDL" Metabolites sex 0.00398 4e-24
23410 "Triglycerides in HDL" Metabolites smoking 0.00503 2e-321
23410 "Triglycerides in HDL" Metabolites spectrometer 0.00433 6e-270
23410 "Triglycerides in HDL" Metabolites time_analysis 0.00106 5e-55
23410 "Triglycerides in HDL" Metabolites time_day 0.00886 0
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites PCs 0.00685 0
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites age_recruitment 0.02372 0
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites assessment_centre 0.00416 2e-269
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites batch 0.00696 0
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites bmi 0.00352 2e-246
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites fasting 1e-05 0.05
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites month_attending 0.00162 3e-104
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites sex 0.09215 0
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites smoking 0.00024 3e-17
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites spectrometer 0.01564 0
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites time_analysis 0.0075 0
23411 "Total Phospholipids in Lipoprotein Particles" Metabolites time_day 0.00433 4e-303
23412 "Phospholipids in VLDL" Metabolites PCs 0.00729 0
23412 "Phospholipids in VLDL" Metabolites age_recruitment 0.02124 0
23412 "Phospholipids in VLDL" Metabolites assessment_centre 0.00492 9e-304
23412 "Phospholipids in VLDL" Metabolites batch 0.00222 5e-135
23412 "Phospholipids in VLDL" Metabolites bmi 0.05019 0
23412 "Phospholipids in VLDL" Metabolites fasting 0.00041 4e-29
23412 "Phospholipids in VLDL" Metabolites month_attending 0.00105 2e-61
23412 "Phospholipids in VLDL" Metabolites sex 0.0249 0
23412 "Phospholipids in VLDL" Metabolites smoking 0.00282 3e-186
23412 "Phospholipids in VLDL" Metabolites spectrometer 0.00294 5e-188
23412 "Phospholipids in VLDL" Metabolites time_analysis 0.00071 4e-35
23412 "Phospholipids in VLDL" Metabolites time_day 0.001 5e-68
23413 "Phospholipids in LDL" Metabolites PCs 0.00165 3e-86
23413 "Phospholipids in LDL" Metabolites age_recruitment 0.02334 0
23413 "Phospholipids in LDL" Metabolites assessment_centre 0.00325 1e-187
23413 "Phospholipids in LDL" Metabolites batch 0.00468 3e-283
23413 "Phospholipids in LDL" Metabolites bmi 0.00019 6e-14
23413 "Phospholipids in LDL" Metabolites fasting 0.00122 2e-79
23413 "Phospholipids in LDL" Metabolites month_attending 0.00101 3e-56
23413 "Phospholipids in LDL" Metabolites sex 0.01783 0
