FID,Name,Type,r2_PCs,r2_Residuals,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel,Label
20280,Glucose-lactate,Metabolites,0.00183,0.86452,0.02102,0.00813,0.01186,0.02444,0.00015,0.00218,0.00068,0.00054,0.03358,0.03081,0.00027,,,,,,,5.999999999999999e-91,,0.0,0.0,0.0,0.0,2e-11,2e-135,9e-30,2e-36,0.0,0.0,2e-19,,,,,,,gluc_lact
20281,Alanine,Metabolites,0.00461,0.87135,0.00317,0.00561,0.03043,0.01764,0.01747,0.0019,0.01543,0.00195,0.00012,0.00076,0.02956,,,,,,,7e-179,,1.0000000000000001e-163,0.0,0.0,0.0,0.0,3e-117,0.0,5e-130,7e-06,2e-38,0.0,,,,,,,alan
23400,Total Cholesterol,Metabolites,0.00365,0.85881,0.02196,0.00389,0.00493,0.00899,0.0005,0.0012,0.06963,0.00041,0.02021,0.00581,1e-05,,,,,,,4e-203,,0.0,2.9999999999999996e-243,0.0,0.0,2e-35,2e-73,0.0,2.0000000000000002e-28,0.0,0.0,0.1,,,,,,,T_Chol
23401,Total Cholesterol Minus HDL-C,Metabolites,0.00295,0.91882,0.02491,0.00379,0.00332,7e-05,0.00046,0.00112,0.02463,0.00062,0.01496,0.0037,0.00065,,,,,,,2.0000000000000002e-162,,0.0,3e-220,7e-198,5e-06,9.999999999999999e-31,3e-63,0.0,1.0000000000000001e-39,0.0,8e-216,8e-43,,,,,,,T_Chol_minu_HDL
23402,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",Metabolites,0.00405,0.92633,0.02491,0.00419,0.0024,0.00105,0.00011,0.00127,0.02611,0.00087,0.00777,0.00081,0.00014,,,,,,,5.0000000000000003e-228,,0.0,5e-243,4.9999999999999996e-139,1e-67,1e-08,1e-71,0.0,2.9999999999999998e-55,0.0,9e-39,3e-10,,,,,,,remn_Chol_non_H
23403,VLDL Cholesterol,Metabolites,0.00578,0.91979,0.02384,0.00441,0.00205,0.02259,0.0,0.00114,0.0139,0.00163,0.0041,0.00037,0.0004,,,,,,,2e-300,,0.0,1e-258,2e-118,0.0,0.4,2e-64,2.0000000000000002e-72,2e-103,4e-252,3e-14,5e-27,,,,,,,VLDL_Chol
23404,Clinical LDL Cholesterol,Metabolites,0.00145,0.91316,0.02197,0.00307,0.00328,0.00088,0.00147,0.00092,0.02468,0.00089,0.02068,0.00413,0.00344,,,,,,,2e-73,,0.0,7e-177,2e-196,9e-58,4e-95,5e-51,0.0,7e-57,0.0,1.9999999999999997e-243,6e-220,,,,,,,clin_LDL_Chol
23405,LDL Cholesterol,Metabolites,0.00189,0.90482,0.02355,0.00336,0.0059,0.00013,0.00095,0.00101,0.02142,0.00046,0.02464,0.00838,0.00349,,,,,,,1e-98,,0.0,5e-197,0.0,8e-10,5e-63,1e-57,0.0,6e-30,0.0,0.0,1.0000000000000001e-225,,,,,,,LDL_Chol
23406,HDL Cholesterol,Metabolites,0.00319,0.69356,0.00219,0.00315,0.00403,0.08616,6e-05,0.00069,0.18544,0.0024,0.01099,0.00439,0.00376,,,,,,,4e-94,,7e-148,9.999999999999999e-244,0.0,0.0,8e-07,7e-51,0.0,1e-200,0.0,0.0,1e-315,,,,,,,HDL_Chol
23407,Total Triglycerides,Metabolites,0.0087,0.83162,0.01665,0.00536,0.00268,0.07721,0.00262,0.00079,0.04247,0.00494,0.00265,0.00166,0.00266,,,,,,,0.0,,0.0,0.0,3e-175,0.0,9e-185,6e-48,0.0,0.0,8e-179,1e-100,2.0000000000000003e-187,,,,,,,T_TG
23408,Triglycerides in VLDL,Metabolites,0.00887,0.82005,0.01333,0.00541,0.00271,0.08094,0.00271,0.00082,0.05531,0.00412,0.00237,0.00122,0.00215,,,,,,,0.0,,0.0,0.0,3e-180,0.0,3e-193,1.9999999999999998e-50,0.0,3e-291,7.000000000000001e-162,2.0000000000000002e-72,9e-154,,,,,,,TG_in_VLDL
23409,Triglycerides in LDL,Metabolites,0.00406,0.88767,0.02691,0.00351,0.00315,0.04555,0.00016,0.00056,0.01013,0.00733,0.00364,0.00649,0.00085,,,,,,,2e-200,,0.0,7e-210,1.9999999999999999e-193,0.0,4e-12,3.9999999999999996e-30,5e-179,0.0,9.999999999999999e-231,0.0,1e-57,,,,,,,TG_in_LDL
23410,Triglycerides in HDL,Metabolites,0.00525,0.90567,0.02091,0.00402,0.00227,0.03408,0.00398,0.00056,0.00398,0.00503,0.00433,0.00106,0.00886,,,,,,,8.999999999999999e-299,,0.0,1.0000000000000001e-237,2e-134,0.0,6e-256,3e-29,4.0000000000000004e-24,2e-321,5.999999999999999e-270,5e-55,0.0,,,,,,,TG_in_HDL
23411,Total Phospholipids in Lipoprotein Particles,Metabolites,0.00685,0.83331,0.02372,0.00416,0.00696,0.00352,1e-05,0.00162,0.09215,0.00024,0.01564,0.0075,0.00433,,,,,,,0.0,,0.0,2e-269,0.0,2e-246,0.05,3e-104,0.0,3e-17,0.0,0.0,4e-303,,,,,,,T_PL_in_lipo_pa
23412,Phospholipids in VLDL,Metabolites,0.00729,0.8803,0.02124,0.00492,0.00222,0.05019,0.00041,0.00105,0.0249,0.00282,0.00294,0.00071,0.001,,,,,,,0.0,,0.0,9.000000000000001e-304,5e-135,0.0,4.0000000000000003e-29,2e-61,0.0,3e-186,5e-188,4e-35,5.0000000000000005e-68,,,,,,,PL_in_VLDL
23413,Phospholipids in LDL,Metabolites,0.00165,0.91535,0.02334,0.00325,0.00468,0.00019,0.00122,0.00101,0.01783,0.0004,0.02031,0.00716,0.00361,,,,,,,3e-86,,0.0,1.0000000000000001e-187,3e-283,6e-14,2e-79,3e-56,0.0,3e-26,0.0,0.0,9.999999999999999e-231,,,,,,,PL_in_LDL
23414,Phospholipids in HDL,Metabolites,0.00465,0.74516,0.00642,0.0021,0.00498,0.03954,0.00025,0.001,0.1691,0.00169,0.00856,0.00497,0.01159,,,,,,,1e-194,,0.0,6e-146,0.0,0.0,4e-21,2.9999999999999995e-70,0.0,1.0000000000000001e-131,0.0,0.0,0.0,,,,,,,PL_in_HDL
23415,Total Esterified Cholesterol,Metabolites,0.00335,0.84783,0.02087,0.00381,0.00529,0.01204,0.00062,0.00116,0.0756,0.00045,0.02244,0.0065,4e-05,,,,,,,4e-181,,0.0,3e-241,0.0,0.0,4e-44,2e-71,0.0,8.999999999999999e-32,0.0,0.0,0.0002,,,,,,,T_este_Chol
23416,Cholesteryl Esters in VLDL,Metabolites,0.00461,0.9342,0.02314,0.00403,0.00184,0.01192,5e-05,0.0011,0.01283,0.0015,0.00419,0.00028,0.00031,,,,,,,1e-241,,0.0,4e-231,7e-104,0.0,0.0002,8e-61,1e-13,1e-93,1e-253,1e-09,6e-21,,,,,,,chol_este_in_VL
23417,Cholesteryl Esters in LDL,Metabolites,0.00237,0.90561,0.02483,0.00356,0.00652,0.0002,0.0007,0.00108,0.01873,0.0003,0.02387,0.00938,0.00286,,,,,,,2.0000000000000002e-126,,0.0,1.9999999999999998e-209,0.0,2e-14,1e-46,2e-61,0.0,6e-20,0.0,0.0,6e-185,,,,,,,chol_este_in_LD
23418,Cholesteryl Esters in HDL,Metabolites,0.00302,0.69744,0.00161,0.00319,0.00403,0.08951,0.00017,0.00066,0.1785,0.0028,0.01189,0.00436,0.00283,,,,,,,2e-93,,1e-99,6.999999999999999e-246,0.0,0.0,1e-15,1e-47,0.0,1e-232,0.0,0.0,2.0000000000000003e-237,,,,,,,chol_este_in_HD
23419,Total Free Cholesterol,Metabolites,0.00428,0.88566,0.02454,0.00408,0.00407,0.00272,0.00024,0.00131,0.0536,0.00042,0.01488,0.00415,6e-05,,,,,,,4e-245,,0.0,2e-247,2e-253,7e-180,2e-17,1e-77,0.0,4.0000000000000003e-28,0.0,2e-253,4e-05,,,,,,,T_free_Chol
23420,Free Cholesterol in VLDL,Metabolites,0.00672,0.89587,0.02268,0.00472,0.00238,0.03901,0.00013,0.00113,0.02039,0.00212,0.00389,0.00049,0.00047,,,,,,,0.0,,0.0,2e-285,3e-143,0.0,5e-10,1e-65,0.0,2e-137,1e-245,2e-21,3e-32,,,,,,,free_Chol_in_VL
23421,Free Cholesterol in LDL,Metabolites,0.00097,0.89715,0.01909,0.00291,0.00411,0.00557,0.00178,0.00084,0.03021,0.00122,0.02526,0.00565,0.00522,,,,,,,8.000000000000001e-34,,0.0,2e-170,6e-253,0.0,4e-117,2.9999999999999997e-47,0.0,8e-80,0.0,0.0,0.0,,,,,,,free_Chol_in_LD
23422,Free Cholesterol in HDL,Metabolites,0.00369,0.703,0.00542,0.00312,0.00377,0.06945,8e-05,0.00078,0.19095,0.00111,0.00752,0.00399,0.00713,,,,,,,9e-117,,0.0,7e-238,3e-297,0.0,6e-08,6e-57,0.0,7e-92,0.0,0.0,0.0,,,,,,,free_Chol_in_HD
23423,Total Lipids in Lipoprotein Particles,Metabolites,0.007,0.88932,0.02815,0.00475,0.00655,0.00046,2e-05,0.00156,0.03773,0.00034,0.01601,0.00694,0.00116,,,,,,,0.0,,0.0,3e-289,0.0,6e-32,0.008,4e-93,0.0,4.0000000000000004e-23,0.0,0.0,1e-77,,,,,,,T_L_in_lipo_par
23424,Total Lipids in VLDL,Metabolites,0.009,0.85501,0.02001,0.00542,0.00234,0.06269,0.00114,0.00105,0.03511,0.003,0.00288,0.00085,0.00149,,,,,,,0.0,,0.0,0.0,8e-148,0.0,4e-79,1.9999999999999999e-63,0.0,1e-203,7e-190,3e-45,2e-103,,,,,,,T_L_in_VLDL
23425,Total Lipids in LDL,Metabolites,0.00208,0.90759,0.02449,0.00345,0.00576,8e-05,0.00088,0.00103,0.01982,0.00034,0.02295,0.00847,0.00306,,,,,,,1.9999999999999998e-110,,0.0,6e-202,0.0,8e-07,3e-58,2e-58,0.0,3e-22,0.0,0.0,2e-197,,,,,,,T_L_in_LDL
23426,Total Lipids in HDL,Metabolites,0.00427,0.72327,0.00526,0.0025,0.00488,0.05434,8e-05,0.00086,0.179,0.00163,0.01017,0.00512,0.00862,,,,,,,1.0000000000000001e-162,,0.0,3.9999999999999995e-182,0.0,0.0,3e-08,1e-61,0.0,3.0000000000000005e-131,0.0,0.0,0.0,,,,,,,T_L_in_HDL
23427,Total Concentration of Lipoprotein Particles,Metabolites,0.00443,0.78803,0.01153,0.00304,0.0113,0.0198,0.00046,0.001,0.10883,0.00177,0.03443,0.01505,0.00031,,,,,,,9.999999999999999e-222,,0.0,9e-205,0.0,0.0,5.9999999999999996e-36,4.0000000000000004e-66,0.0,9e-131,0.0,0.0,1.0000000000000001e-24,,,,,,,T_conc_of_lipo_
23428,Concentration of VLDL Particles,Metabolites,0.00567,0.90946,0.02394,0.00463,0.00237,0.03099,0.0002,0.0011,0.01401,0.00227,0.00347,0.00155,0.00032,,,,,,,3e-287,,0.0,7.000000000000001e-275,8e-140,0.0,1e-14,1e-62,4e-176,4.0000000000000004e-145,3e-215,1.9999999999999998e-84,2e-22,,,,,,,conc_of_VLDL_pa
23429,Concentration of LDL Particles,Metabolites,0.00262,0.93569,0.02313,0.0032,0.00296,0.00193,0.00062,0.00102,0.01414,0.00101,0.00834,0.00411,0.00122,,,,,,,3e-118,,0.0,2e-180,6.999999999999999e-172,2e-121,1e-40,5e-56,2e-104,3e-63,0.0,2e-236,2e-77,,,,,,,conc_of_LDL_par
23430,Concentration of HDL Particles,Metabolites,0.00415,0.78848,0.00813,0.00271,0.01094,0.02407,0.00037,0.00087,0.11065,0.0024,0.03242,0.01432,0.00049,,,,,,,3.0000000000000003e-181,,0.0,6.000000000000001e-181,0.0,0.0,6e-29,9.999999999999999e-57,0.0,2e-176,0.0,0.0,3e-38,,,,,,,conc_of_HDL_par
23431,Average Diameter for VLDL Particles,Metabolites,0.00997,0.76056,0.00671,0.00479,0.00168,0.09194,0.00158,0.00056,0.11657,0.00269,0.00217,0.00031,0.00047,,,,,,,0.0,,5.0000000000000005e-158,0.0,3e-117,0.0,1.9999999999999998e-122,2e-36,0.0,2e-205,2e-160,3e-14,1e-37,,,,,,,aver_diam_for_V
23432,Average Diameter for LDL Particles,Metabolites,0.0011,0.86259,0.00347,0.0013,0.00332,0.03495,0.00115,0.00014,0.06041,0.00059,0.01723,0.01242,0.00133,,,,,,,1.0000000000000001e-29,,4e-201,1.0000000000000001e-72,4e-211,0.0,2e-79,8e-06,0.0,1e-40,0.0,0.0,2.9999999999999997e-91,,,,,,,aver_diam_for_L
23433,Average Diameter for HDL Particles,Metabolites,0.0031,0.6658,0.00273,0.00461,0.00116,0.11264,0.00091,0.00049,0.18778,0.002,0.00215,0.00075,0.01588,,,,,,,4e-125,,5e-108,0.0,7e-91,0.0,3.0000000000000004e-81,2e-36,0.0,1.9999999999999998e-174,1e-181,2e-52,0.0,,,,,,,aver_diam_for_H
23434,Phosphoglycerides,Metabolites,0.00553,0.81997,0.0223,0.00377,0.00857,0.00327,0.00016,0.00152,0.10007,0.00081,0.01665,0.00947,0.00791,,,,,,,0.0,,0.0,1e-246,0.0,1e-232,9e-13,7.0000000000000005e-99,0.0,8e-58,0.0,0.0,0.0,,,,,,,phos
23435,Triglycerides to Phosphoglycerides ratio,Metabolites,0.00678,0.74627,0.00625,0.00464,0.00081,0.10534,0.00244,0.00042,0.12001,0.00517,0.00158,7e-05,0.00023,,,,,,,1e-273,,3e-237,0.0,5.999999999999999e-54,0.0,3e-191,1.9999999999999998e-26,0.0,0.0,2e-117,0.2,2e-19,,,,,,,TG_to_phos_to
23436,Total Cholines,Metabolites,0.00533,0.803,0.01976,0.00387,0.00873,0.00869,2e-05,0.00149,0.11358,0.00035,0.01859,0.01081,0.00578,,,,,,,0.0,,0.0,2e-259,0.0,0.0,0.008,7.0000000000000005e-99,0.0,3.9999999999999996e-26,0.0,0.0,0.0,,,,,,,T_chol
23437,Phosphatidylcholines,Metabolites,0.00641,0.81189,0.0192,0.00369,0.00725,0.00948,0.00059,0.00132,0.11461,0.00058,0.01229,0.00698,0.00572,,,,,,,0.0,,0.0,8.999999999999999e-244,0.0,0.0,5.999999999999999e-44,1.9999999999999998e-86,0.0,6.999999999999999e-42,0.0,0.0,0.0,,,,,,,phos1
23438,Sphingomyelins,Metabolites,0.00367,0.77876,0.01723,0.00379,0.00742,0.01667,0.00163,0.00116,0.12188,2e-05,0.03154,0.01594,0.0003,,,,,,,9.999999999999999e-143,,0.0,3e-262,0.0,0.0,2e-123,5e-78,0.0,0.05,0.0,0.0,5e-24,,,,,,,sphi
23439,Apolipoprotein B,Metabolites,0.00308,0.93539,0.02432,0.0035,0.00227,0.00252,0.00041,0.00106,0.01591,0.00108,0.00734,0.0026,0.00052,,,,,,,9.999999999999999e-153,,0.0,1e-198,6e-130,3e-158,2e-27,2e-58,9.999999999999999e-193,1e-67,0.0,9e-145,5e-34,,,,,,,apol_b
23440,Apolipoprotein A1,Metabolites,0.00471,0.75729,0.00642,0.00242,0.00686,0.03915,0.0,0.0008,0.15008,0.00201,0.0177,0.00781,0.00475,,,,,,,1.9999999999999998e-190,,0.0,2e-167,0.0,0.0,1.0,7.999999999999999e-54,0.0,4e-154,0.0,0.0,0.0,,,,,,,apol_a1
23441,Apolipoprotein B to Apolipoprotein A1 ratio,Metabolites,0.00197,0.91153,0.01176,0.00198,0.0009,0.02351,0.00038,0.00058,0.03986,0.00298,0.00032,0.00017,0.00407,,,,,,,6.999999999999999e-42,,1e-249,1e-109,9e-49,0.0,3e-26,9.999999999999999e-31,0.0,3.9999999999999996e-190,3e-17,0.0002,6e-261,,,,,,,apol_b_to_apol_
23442,Total Fatty Acids,Metabolites,0.00705,0.87962,0.03242,0.00465,0.00718,0.02128,0.00028,0.00141,0.01658,0.00283,0.01033,0.00762,0.00875,,,,,,,0.0,,0.0,4.999999999999999e-286,0.0,0.0,4e-20,8e-85,0.0,2.0000000000000002e-186,0.0,0.0,0.0,,,,,,,T_fatt_acid
23443,Degree of Unsaturation,Metabolites,0.02312,0.7864,0.0055,0.00895,0.00412,0.06398,1e-05,0.00038,0.06864,0.02081,0.01543,0.00244,0.0002,,,,,,,0.0,,0.0,0.0,3e-290,0.0,0.2,1e-22,0.0,0.0,0.0,7e-163,1e-16,,,,,,,degr_of_unsa
23444,Omega-3 Fatty Acids,Metabolites,0.00567,0.87872,0.0579,0.00317,0.0025,0.00014,0.00201,0.00048,0.02762,0.00483,0.0126,0.00074,0.00363,,,,,,,5e-144,,0.0,3e-190,2e-153,1e-10,2e-134,7.999999999999999e-26,0.0,9e-318,0.0,3e-37,1e-240,,,,,,,omeg_3_fatt_aci
23445,Omega-6 Fatty Acids,Metabolites,0.00656,0.88361,0.02324,0.00342,0.00879,4e-05,8e-05,0.00148,0.04806,4e-05,0.01355,0.00673,0.00442,,,,,,,3e-216,,0.0,2e-205,0.0,0.0006,1e-06,2.0000000000000001e-88,0.0,0.004,0.0,0.0,2e-291,,,,,,,omeg_6_fatt_aci
23446,Polyunsaturated Fatty Acids,Metabolites,0.0042,0.8746,0.03169,0.00342,0.00849,8e-05,0.00037,0.00134,0.05289,0.00037,0.01137,0.0059,0.0053,,,,,,,2e-143,,0.0,1e-207,0.0,4e-07,3.9999999999999996e-26,2e-80,0.0,5e-25,0.0,0.0,0.0,,,,,,,poly_fatt_acid
23447,Monounsaturated Fatty Acids,Metabolites,0.01046,0.84072,0.02423,0.00647,0.00583,0.06334,0.00029,0.00103,0.01106,0.00828,0.00794,0.00848,0.01186,,,,,,,0.0,,0.0,0.0,0.0,0.0,6e-22,3e-63,4.0000000000000005e-159,0.0,0.0,0.0,0.0,,,,,,,mono_fatt_acid
23448,Saturated Fatty Acids,Metabolites,0.00912,0.88188,0.02941,0.00554,0.00521,0.0271,0.00012,0.0014,0.01187,0.00499,0.01046,0.00595,0.00696,,,,,,,0.0,,0.0,0.0,0.0,0.0,3e-09,7.999999999999999e-84,1e-181,0.0,0.0,0.0,0.0,,,,,,,satu_fatt_acid
23449,Linoleic Acid,Metabolites,0.00971,0.90095,0.01809,0.0042,0.008,0.00137,0.00068,0.00122,0.03503,0.00053,0.01249,0.00534,0.00237,,,,,,,2e-319,,0.0,6.999999999999999e-251,0.0,2e-90,8e-46,8e-71,0.0,5e-35,0.0,0.0,2.9999999999999996e-154,,,,,,,lino_acid
23450,Docosahexaenoic Acid,Metabolites,0.00847,0.84411,0.0369,0.0051,0.0024,0.02273,0.00086,0.00051,0.05819,0.00873,0.01025,0.00177,0.0,,,,,,,3e-166,,0.0,0.0,7e-153,0.0,9e-61,7.000000000000001e-29,0.0,0.0,0.0,2.9999999999999997e-106,0.7,,,,,,,doco_acid
23451,Omega-3 Fatty Acids to Total Fatty Acids percentage,Metabolites,0.01497,0.86896,0.04323,0.00538,0.00078,0.00864,0.00241,0.00046,0.01868,0.01223,0.02345,0.0004,0.00043,,,,,,,0.0,,0.0,0.0,2e-43,0.0,2.0000000000000002e-162,5e-25,0.0,0.0,0.0,5e-17,3e-30,,,,,,,omeg_3_fatt_ac1
23452,Omega-6 Fatty Acids to Total Fatty Acids percentage,Metabolites,0.01047,0.81618,0.02724,0.00672,0.00098,0.0895,0.00038,0.0004,0.02467,0.01226,0.0012,0.0025,0.00751,,,,,,,0.0,,0.0,0.0,4.0000000000000004e-60,0.0,1.0000000000000001e-28,3e-22,0.0,0.0,3e-80,4e-160,0.0,,,,,,,omeg_6_fatt_ac1
23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,Metabolites,0.01727,0.78186,0.00721,0.01047,0.00094,0.1082,0.0,0.00045,0.03836,0.02,0.00649,0.00299,0.00574,,,,,,,0.0,,0.0,0.0,2.0000000000000002e-60,0.0,0.2,3e-27,0.0,0.0,0.0,9e-204,0.0,,,,,,,poly_fatt_acid_
23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,Metabolites,0.01332,0.7396,0.00593,0.00977,0.00184,0.1319,0.00014,0.00032,0.0605,0.01727,0.00265,0.00576,0.011,,,,,,,0.0,,5.0000000000000005e-278,0.0,1e-133,0.0,9e-13,9e-20,0.0,0.0,8.000000000000001e-202,0.0,0.0,,,,,,,mono_fatt_acid_
23455,Saturated Fatty Acids to Total Fatty Acids percentage,Metabolites,0.02259,0.91678,0.00574,0.00566,0.00104,0.02115,0.00025,0.00061,0.00165,0.00929,0.01498,0.0002,7e-05,,,,,,,0.0,,9e-305,0.0,4e-57,0.0,2e-17,7e-32,2e-78,0.0,0.0,1e-05,7e-06,,,,,,,satu_fatt_acid_
23456,Linoleic Acid to Total Fatty Acids percentage,Metabolites,0.00993,0.81697,0.03004,0.00941,0.00046,0.08863,0.00028,0.00018,0.02135,0.01325,0.00322,0.00079,0.00547,,,,,,,0.0,,0.0,0.0,3e-25,0.0,2e-21,2e-08,0.0,0.0,1.9999999999999998e-222,4e-44,0.0,,,,,,,lino_acid_to_T_
23457,Docosahexaenoic Acid to Total Fatty Acids percentage,Metabolites,0.01704,0.82635,0.01373,0.00754,0.00082,0.05871,0.00054,0.00054,0.03981,0.01524,0.01617,0.00031,0.00321,,,,,,,0.0,,0.0,0.0,9e-49,0.0,9e-40,2e-31,0.0,0.0,0.0,3e-13,2.0000000000000002e-226,,,,,,,doco_acid_to_T_
23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,Metabolites,0.0162,0.74066,0.00725,0.01107,0.00147,0.13109,5e-05,0.00038,0.0537,0.01986,0.0041,0.00492,0.00925,,,,,,,0.0,,0.0,0.0,7e-105,0.0,2e-05,5e-24,0.0,0.0,3e-314,0.0,0.0,,,,,,,poly_fatt_acid1
23459,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio,Metabolites,0.01026,0.89057,0.05524,0.00299,0.00084,1e-05,0.0027,0.00042,0.00883,0.0069,0.01939,0.00012,0.00174,,,,,,,9.999999999999999e-222,,0.0,4e-176,7e-46,0.09,2e-177,2e-21,0.0,0.0,0.0,0.01,7.9999999999999995e-115,,,,,,,omeg_6_fatt_ac2
23460,Alanine,Metabolites,0.00317,0.59363,0.0023,0.0045,0.02112,0.01199,0.0118,0.00144,0.01041,0.00135,0.31794,0.00258,0.01778,,,,,,,2.0000000000000002e-171,,1e-177,0.0,0.0,0.0,0.0,8e-132,0.0,2e-132,0.0,2.0000000000000001e-233,0.0,,,,,,,alan1
23461,Glutamine,Metabolites,0.00116,0.85114,0.00732,0.00878,0.02688,0.02303,0.00034,0.00155,0.00694,0.00106,0.02119,0.04606,0.00456,,,,,,,1.9999999999999998e-30,,8e-302,0.0,0.0,0.0,6e-25,1e-96,2.0000000000000002e-307,1.0000000000000001e-72,0.0,0.0,3e-311,,,,,,,glut
23462,Glycine,Metabolites,0.00108,0.81351,0.00286,0.00211,0.00518,0.02783,0.00048,0.00136,0.11121,0.00122,0.00785,0.02046,0.00485,,,,,,,1e-20,,2.9999999999999996e-154,2e-133,0.0,0.0,8e-36,3e-88,0.0,1e-87,0.0,0.0,0.0,,,,,,,glyc
23463,Histidine,Metabolites,0.00053,0.89271,0.00599,0.00236,0.04959,0.00065,0.00397,0.00067,0.00994,0.00061,0.02046,0.0096,0.00293,,,,,,,2e-22,,0.0,2e-136,0.0,8e-44,2e-259,1e-36,0.0,1e-40,0.0,0.0,9.999999999999999e-192,,,,,,,hist
23464,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),Metabolites,0.00223,0.80032,0.00282,0.00508,0.00574,0.04891,0.00617,0.0003,0.06419,0.00089,0.01894,0.01709,0.02732,,,,,,,6e-82,,2e-90,0.0,0.0,0.0,0.0,9e-17,0.0,4e-65,0.0,0.0,0.0,,,,,,,T_conc_of_bran_
23465,Isoleucine,Metabolites,0.00211,0.82751,0.00139,0.00405,0.00352,0.02954,0.00657,0.00013,0.03987,0.00026,0.00995,0.00577,0.06935,,,,,,,2e-65,,4.999999999999999e-32,1e-262,4.0000000000000003e-233,0.0,0.0,1e-05,0.0,5e-19,0.0,0.0,0.0,,,,,,,isol
23466,Leucine,Metabolites,0.00164,0.83033,0.00181,0.00462,0.00373,0.03183,0.0043,0.00039,0.07827,0.00059,0.0079,0.01316,0.02145,,,,,,,3e-45,,4.0000000000000006e-45,3.9999999999999994e-301,4e-247,0.0,3.9999999999999994e-301,2e-21,0.0,1e-41,0.0,0.0,0.0,,,,,,,leuc
23467,Valine,Metabolites,0.00243,0.78132,0.00464,0.00533,0.00973,0.06181,0.00649,0.00041,0.05439,0.00133,0.03378,0.02301,0.01534,,,,,,,1e-104,,9e-197,0.0,0.0,0.0,0.0,3e-24,0.0,3e-99,0.0,0.0,0.0,,,,,,,vali
23468,Phenylalanine,Metabolites,0.00098,0.87306,0.00245,0.00628,0.00816,0.01779,0.01422,0.00092,0.00411,0.00045,0.00598,0.0375,0.02809,,,,,,,1.0000000000000001e-49,,9e-119,0.0,0.0,0.0,0.0,1e-53,2.0000000000000002e-254,9.999999999999999e-31,0.0,0.0,0.0,,,,,,,phen
23469,Tyrosine,Metabolites,0.00179,0.89253,0.01779,0.00876,0.00625,0.03276,0.01747,0.00042,0.00137,0.00125,0.00993,0.00856,0.00112,,,,,,,4e-47,,0.0,0.0,0.0,0.0,0.0,2e-21,6.999999999999999e-30,6e-82,0.0,0.0,2e-74,,,,,,,tyro
23470,Glucose,Metabolites,0.00216,0.85613,0.02214,0.02597,0.00566,0.01447,4e-05,0.00495,0.0004,0.00191,0.02877,0.01629,0.0211,,,,,,,4e-61,,0.0,0.0,0.0,0.0,0.0004,0.0,3e-14,9.999999999999999e-129,0.0,0.0,0.0,,,,,,,gluc
23471,Lactate,Metabolites,0.0023,0.76184,0.00051,0.07131,0.00592,0.00636,0.00015,0.01773,0.006,0.00288,0.04244,0.01267,0.0699,,,,,,,8e-146,,5e-12,0.0,0.0,0.0,8e-13,0.0,0.0,3e-219,0.0,0.0,0.0,,,,,,,lact
23472,Pyruvate,Metabolites,0.00193,0.8732,0.00109,0.06024,0.00684,0.00534,0.00042,0.01982,0.00614,0.00061,0.01124,0.00732,0.00581,,,,,,,2.0000000000000001e-112,,1.0000000000000001e-23,0.0,0.0,0.0,2.0000000000000002e-29,0.0,0.0,1e-40,0.0,0.0,0.0,,,,,,,pyru
23473,Citrate,Metabolites,0.00196,0.81669,0.02742,0.01036,0.01373,0.00136,0.00079,0.00263,0.01564,0.00567,0.05105,0.04991,0.00279,,,,,,,7e-71,,0.0,0.0,0.0,2e-98,5.0000000000000005e-58,1e-176,0.0,0.0,0.0,0.0,9.999999999999999e-200,,,,,,,citr
23474,3-Hydroxybutyrate,Metabolites,0.00152,0.93061,0.00796,0.00435,0.00088,0.00123,0.02947,0.00043,0.00053,0.00132,0.00308,0.0027,0.01593,,,,,,,2e-48,,0.0,5.999999999999999e-244,8.000000000000001e-45,2e-76,0.0,2e-20,1.9999999999999998e-26,1e-80,6.000000000000001e-181,3e-147,0.0,,,,,,,3_hydr
23475,Acetate,Metabolites,0.00092,0.90876,0.00078,0.01535,0.00805,0.01011,0.00042,0.00297,8e-05,0.00239,0.0024,0.01898,0.02879,,,,,,,2.0000000000000002e-29,,1.0000000000000001e-28,0.0,0.0,0.0,2.0000000000000002e-28,7e-179,0.04,3.999999999999999e-152,1e-146,0.0,0.0,,,,,,,acet
