FID,Name,Type,r2_PCs,r2_Residuals,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel,Label
il13,IL13,Proteins,0.00039,0.99553,0.00083,0.00081,,6e-05,0.0,0.00026,0.00034,0.00034,,,4e-05,,,,0.00014,0.00125,0.0,0.05,,4e-09,0.02,,0.1,0.8,0.5,0.0002,0.0001,,,0.2,,,,0.3,1.0,0.7,il13
il13ra1,IL13RA1,Proteins,0.00234,0.91458,0.00918,0.00145,,0.06054,0.00065,0.00087,0.00699,0.00166,,,1e-05,,,,8e-05,0.00166,0.0,3e-10,,1e-41,6e-07,,0.0,4e-08,3e-05,2e-19,2e-18,,,0.5,,,,0.6,0.9,0.8,il131
il13ra2,IL13RA2,Proteins,0.00033,0.99574,0.00021,0.00068,,0.0002,1e-05,0.0004,7e-05,0.00023,,,0.0,,,,0.00052,0.00159,2e-05,0.02,,0.004,0.1,,0.004,0.6,0.1,0.1,0.002,,,0.8,,,,0.0006,0.9,0.3,il132
il15,IL15,Proteins,0.01116,0.95527,0.00137,0.00737,,0.00054,0.00013,0.00096,0.00049,0.01413,,,0.00493,,,,0.00019,0.00125,0.00222,8.999999999999999e-97,,2e-14,2e-57,,1e-06,0.02,1e-05,1e-05,6e-138,,,1.0000000000000001e-49,,,,0.1,1.0,3e-23,il15
il15ra,IL15RA,Proteins,0.01495,0.93213,0.02964,0.00222,,0.00806,0.0,0.00041,0.0072,0.00044,,,0.00121,,,,7e-05,0.00106,0.00261,4e-127,,4.0000000000000004e-275,1e-12,,2e-80,0.7,0.07,6e-60,8e-06,,,2e-13,,,,0.7,1.0,3e-27,il151
il16,IL16,Proteins,0.00628,0.86126,0.02183,0.01161,,0.0773,0.0001,0.00265,0.0053,0.00458,,,0.00697,,,,0.00018,0.00134,0.00061,9.999999999999999e-51,,2e-208,2e-109,,0.0,0.02,5e-23,9.999999999999999e-31,1e-51,,,1e-77,,,,0.1,0.9,3e-08,il16
il17a,IL17A,Proteins,0.00165,0.99144,0.00167,0.0019,,7e-05,0.0,0.0004,6e-05,0.0,,,0.00109,,,,6e-05,0.00088,0.00078,2e-05,,1e-16,3e-09,,0.09,0.9,0.1,0.6,0.7,,,1e-11,,,,0.8,1.0,1e-08,il17
il17c,IL17C,Proteins,0.00435,0.93136,0.00272,0.00941,,0.0121,0.00064,0.00313,0.02869,0.00063,,,0.00401,,,,0.00021,0.00128,0.00147,5e-16,,3e-25,1e-76,,2e-119,8e-08,1.0000000000000001e-24,4.0000000000000004e-275,1e-07,,,6e-41,,,,0.09,1.0,4e-16,il171
il17d,IL17D,Proteins,0.00727,0.80673,0.17173,0.00206,,0.0,0.00055,0.00048,0.00735,0.00018,,,0.0001,,,,5e-05,0.00127,0.00222,2e-44,,0.0,7e-14,,0.9,9e-08,0.01,6e-74,0.002,,,0.02,,,,0.7,0.9,8e-27,il172
il17f,IL17F,Proteins,0.00098,0.99495,0.00083,0.00038,,0.00085,8e-05,0.00018,0.00017,6e-05,,,0.00034,,,,0.00026,0.00081,0.00011,0.002,,9e-09,0.7,,2e-09,0.07,0.7,0.02,0.1,,,0.0002,,,,0.06,1.0,0.03,il173
il17ra,IL17RA,Proteins,0.00532,0.98754,0.00114,0.00213,,0.00072,0.00027,0.00064,0.0007,3e-05,,,0.0,,,,6e-05,0.00127,0.00018,2.0000000000000003e-34,,1e-05,3e-11,,2e-08,0.0007,0.004,0.8,0.3,,,0.7,,,,0.7,1.0,0.005,il174
il17rb,IL17RB,Proteins,0.02888,0.89506,0.01301,0.0013,,0.03947,5e-05,0.00047,0.01784,6e-05,,,0.00161,,,,6e-05,0.00098,0.0012,2e-234,,1.0000000000000001e-131,5e-06,,0.0,0.1,0.02,3e-180,0.08,,,3e-18,,,,0.7,1.0,7e-14,il175
il18,IL18,Proteins,0.0099,0.89454,0.00449,0.00537,,0.03573,0.00105,0.00194,0.03548,0.00831,,,0.00056,,,,0.00011,0.00142,0.0011,3e-66,,3e-43,1.9999999999999998e-42,,0.0,2e-12,8e-15,0.0,4e-87,,,3e-07,,,,0.4,0.9,5e-13,il18
il18bp,IL18BP,Proteins,0.02618,0.87359,0.0583,0.0042,,0.01733,0.00027,0.00066,0.00746,0.00411,,,0.0017,,,,0.00011,0.0014,0.00469,3.0000000000000004e-247,,0.0,9.999999999999999e-33,,3e-184,0.0003,0.0007,6e-69,2.0000000000000003e-45,,,8e-20,,,,0.4,0.9,2e-51,il181
il18r1,IL18R1,Proteins,0.01079,0.85714,0.00973,0.00293,,0.11059,0.00069,0.00085,0.00462,0.00014,,,8e-05,,,,5e-05,0.00136,0.00101,3e-66,,4.999999999999999e-84,2e-21,,0.0,3e-09,1e-05,3e-28,0.008,,,0.04,,,,0.8,0.9,1e-12,il182
il18rap,IL18RAP,Proteins,0.00148,0.96802,0.01217,0.00057,,0.00083,1e-05,0.00023,0.01333,0.00077,,,0.00014,,,,2e-05,0.00212,0.0003,5e-07,,3e-115,0.2,,2e-09,0.5,0.5,3e-126,7e-09,,,0.01,,,,1.0,0.4,0.0003,il183
il19,IL19,Proteins,0.01152,0.92813,0.00518,0.00303,,0.00981,0.00143,0.00051,0.02622,0.01047,,,0.0,,,,4e-05,0.00143,0.00223,5e-35,,8e-46,4e-19,,5e-97,1e-15,0.02,2e-247,2e-103,,,0.6,,,,0.9,1.0,2.0000000000000002e-23,il19
il1a,IL1A,Proteins,0.00032,0.99643,8e-05,0.00081,,7e-05,1e-05,0.00088,3e-05,0.0,,,0.0,,,,4e-05,0.00133,0.0,0.1,,0.08,0.03,,0.08,0.5,0.0001,0.3,0.9,,,0.7,,,,0.9,1.0,0.9,il1a
il1b,IL1B,Proteins,0.00146,0.94992,0.00027,0.02493,,0.00737,0.0,0.00545,0.00104,0.0016,,,0.00633,,,,4e-05,0.00144,0.00015,7e-09,,0.001,6e-216,,6e-72,0.8,8.000000000000001e-45,3e-11,5e-17,,,4e-62,,,,0.9,1.0,0.01,il1b
il1r1,IL1R1,Proteins,0.00495,0.96327,0.00847,0.00184,,0.00417,2e-05,0.00153,0.00891,0.00033,,,0.00411,,,,2e-05,0.00117,0.00122,1.0000000000000001e-23,,3e-80,2e-09,,6.999999999999999e-42,0.4,4e-10,1.9999999999999998e-84,0.0001,,,2e-41,,,,1.0,1.0,2e-13,il1r
il1r2,IL1R2,Proteins,0.00172,0.93858,0.00856,0.0012,,0.01394,0.00075,0.00082,0.03154,0.00075,,,0.00046,,,,9e-05,0.0013,0.0003,2e-10,,2e-09,6e-05,,3.9999999999999997e-138,6e-09,0.0001,9e-233,6e-09,,,5e-06,,,,0.5,1.0,0.0002,il1r1
il1rap,IL1RAP,Proteins,0.02515,0.87878,0.00128,0.00244,,0.04267,0.00115,0.00068,0.04472,0.00152,,,0.0,,,,9e-05,0.00138,0.00014,7e-217,,0.01,6e-16,,0.0,7e-14,0.0005,0.0,1e-17,,,1.0,,,,0.5,1.0,0.01,il1r2
il1rl1,IL1RL1,Proteins,0.00608,0.83759,0.00621,0.00115,,0.00403,0.00078,0.00101,0.14014,0.0,,,0.0,,,,0.00013,0.00111,0.00178,9e-52,,1e-43,1e-05,,1e-46,3e-10,3e-07,0.0,0.9,,,0.9,,,,0.3,1.0,1e-21,il1r3
il1rl2,IL1RL2,Proteins,0.00558,0.88896,0.01873,0.00238,,0.005,0.00056,0.00036,0.06355,0.01325,,,0.00041,,,,0.00013,0.00105,3e-05,2e-18,,2.0000000000000002e-163,9e-15,,5e-53,3e-07,0.1,0.0,1e-136,,,1e-05,,,,0.3,1.0,0.3,il1r4
il1rn,IL1RN,Proteins,0.00682,0.72832,0.00751,0.00775,,0.23066,0.00073,0.00283,0.00894,0.0019,,,0.00034,,,,0.00013,0.00177,0.0023,3e-58,,5e-96,1.0000000000000001e-82,,0.0,8e-11,1.0000000000000001e-29,7e-114,7e-26,,,9e-06,,,,0.2,0.08,6.0000000000000005e-31,il1r5
il2,IL2,Proteins,0.00033,0.99679,7e-05,0.00086,,0.0,1e-05,0.00032,3e-05,0.0,,,4e-05,,,,6e-05,0.00139,9e-05,0.1,,0.2,0.01,,0.7,0.4,0.3,0.7,1.0,,,0.2,,,,0.8,1.0,0.05,il2
il20,IL20,Proteins,0.0006,0.99019,0.00162,0.00046,,0.00157,0.0,0.0003,0.00323,0.00043,,,9e-05,,,,0.00017,0.00124,9e-05,0.04,,2e-15,0.5,,4e-16,0.9,0.3,1.9999999999999998e-30,2e-05,,,0.05,,,,0.2,1.0,0.05,il20
il20ra,IL20RA,Proteins,0.00064,0.99645,0.00021,0.00056,,3e-05,0.0,0.00014,0.00017,0.00019,,,3e-05,,,,0.00019,0.00127,0.00012,0.02,,0.003,0.3,,0.3,0.9,0.9,0.008,0.004,,,0.3,,,,0.1,1.0,0.02,il201
il20rb,IL20RB,Proteins,0.00092,0.99528,0.00012,0.00041,,0.00031,1e-05,0.00014,2e-05,0.00075,,,0.0007,,,,6e-05,0.00101,0.00028,0.01,,0.02,0.6,,0.0003,0.6,0.9,0.4,2e-08,,,6e-08,,,,0.8,1.0,0.0006,il202
il21r,IL21R,Proteins,0.00044,0.99625,0.00061,0.00072,,2e-05,2e-05,0.00032,0.00028,0.00023,,,2e-05,,,,6e-05,0.00091,0.00012,0.04,,4e-07,0.07,,0.4,0.3,0.3,0.0007,0.002,,,0.3,,,,0.8,1.0,0.03,il21
il22,IL22,Proteins,0.01153,0.88376,0.00345,0.00421,,0.0074,0.0004,0.00056,0.06259,0.02329,,,0.00014,,,,5e-05,0.00126,0.00137,3e-90,,2.0000000000000002e-23,1.9999999999999998e-32,,1e-79,1e-05,0.004,0.0,2e-244,,,0.009,,,,0.8,0.9,3e-16,il22
il22ra1,IL22RA1,Proteins,0.00196,0.97555,0.00687,0.00059,,0.0,0.00023,0.00063,0.01056,0.00016,,,0.00207,,,,9e-05,0.00124,4e-05,2e-08,,5e-42,0.2,,0.8,0.002,0.005,2e-76,0.008,,,5e-21,,,,0.5,1.0,0.2,il221
il24,IL24,Proteins,0.00097,0.99616,9e-05,0.00098,,2e-05,1e-05,0.00034,9e-05,5e-05,,,0.0,,,,7e-05,0.00118,3e-05,0.0003,,0.4,0.003,,0.4,0.5,0.2,0.4,0.2,,,0.8,,,,0.7,1.0,0.2,il24
il25,IL25,Proteins,0.00043,0.99718,2e-05,0.0005,,2e-05,0.0,0.00036,7e-05,9e-05,,,5e-05,,,,9e-05,0.00114,6e-05,0.05,,0.5,0.4,,0.4,0.9,0.2,0.1,0.05,,,0.1,,,,0.6,1.0,0.1,il25
il2ra,IL2RA,Proteins,0.0255,0.9111,0.01431,0.00334,,0.0224,0.00055,0.00087,0.00243,0.01366,,,0.00028,,,,9e-05,0.00138,0.00409,2.0000000000000002e-186,,1e-144,1e-22,,1e-224,4e-07,3e-05,4.9999999999999996e-26,1.9999999999999998e-138,,,0.0003,,,,0.6,1.0,7e-43,il2r
il2rb,IL2RB,Proteins,0.00393,0.98909,0.00026,0.00068,,0.00012,0.0001,0.00037,0.00182,0.00265,,,2e-05,,,,0.0001,0.00086,1e-05,9.999999999999999e-31,,0.002,0.09,,0.03,0.04,0.2,4e-18,3e-26,,,0.4,,,,0.5,1.0,0.6,il2r1
il2rg,IL2RG,Proteins,0.00326,0.98193,0.00185,0.00058,,0.0009,3e-05,0.00036,0.0087,0.00026,,,0.0,,,,0.00029,0.00133,0.00049,8.000000000000001e-28,,1e-10,0.2,,4e-10,0.2,0.1,1.0000000000000001e-75,0.0008,,,0.7,,,,0.03,1.0,4e-06,il2r2
il3,IL3,Proteins,0.00052,0.99715,4e-05,0.00062,,1e-05,1e-05,0.00031,0.0,0.0,,,2e-05,,,,7e-05,0.00116,8e-05,0.01,,0.2,0.2,,0.4,0.5,0.3,0.7,0.7,,,0.4,,,,0.7,1.0,0.07,il3
il31,IL31,Proteins,0.00137,0.99452,0.00063,0.00054,,0.00013,0.0,0.00016,0.00108,7e-05,,,1e-05,,,,2e-05,0.0013,0.00019,2e-07,,4e-06,0.3,,0.02,0.7,0.8,2e-10,0.1,,,0.6,,,,1.0,1.0,0.005,il31
il31ra,IL31RA,Proteins,0.01663,0.95624,0.01056,0.0025,,1e-05,0.00015,0.00215,0.00986,0.00029,,,0.00048,,,,3e-05,0.00107,3e-05,9e-149,,3e-09,4e-14,,0.6,0.01,4e-15,0.03,0.0004,,,5e-06,,,,0.9,1.0,0.3,il311
il32,IL32,Proteins,0.00387,0.91412,0.04202,0.00179,,0.01109,6e-05,0.00062,0.02217,0.00133,,,0.0,,,,3e-05,0.0011,0.00181,2.0000000000000002e-23,,0.0,1e-09,,1e-113,0.1,0.002,6e-199,3e-15,,,0.9,,,,0.9,1.0,5e-20,il32
il33,IL33,Proteins,0.0006,0.99258,0.00212,0.00058,,0.00027,0.0,0.0008,9e-05,0.00087,,,0.00018,,,,6e-05,0.00141,0.00045,0.0003,,4e-21,0.2,,0.0007,0.6,0.0004,0.06,1e-09,,,0.007,,,,0.8,1.0,1e-05,il33
il34,IL34,Proteins,0.00103,0.99141,0.00138,0.00052,,0.00143,0.0001,0.00013,0.00036,0.00242,,,5e-05,,,,5e-05,0.00109,3e-05,1e-05,,5e-12,0.3,,9e-15,0.04,0.9,0.02,8.000000000000001e-24,,,0.1,,,,0.8,1.0,0.3,il34
il36a,IL36A,Proteins,0.00059,0.99594,0.00056,0.00041,,2e-05,0.0,0.00031,0.0006,7e-05,,,1e-05,,,,4e-05,0.00144,1e-05,0.01,,2e-06,0.6,,0.4,1.0,0.3,7e-07,0.08,,,0.6,,,,0.9,1.0,0.5,il36
